met_file,case_dir,case_type,parameter,value,section,title,statistic%,EAB,LPZ
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,C:\Users\naetter\OneDrive - North Carolina State University\Desktop\EAB Optimization Project\sierra_sensitivity_20260207_134814\MET_8387\control,control,,,max_sector,1-4 Day  Avg. X/Qs  ,50.0,4.3183518982914393e-07,2.3443159591352014e-07
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,C:\Users\naetter\OneDrive - North Carolina State University\Desktop\EAB Optimization Project\sierra_sensitivity_20260207_134814\MET_8387\control,control,,,max_sector,4-30 Day Avg. X/Qs  ,0.5,7.26734651834704e-06,3.076478833463625e-06
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,C:\Users\naetter\OneDrive - North Carolina State University\Desktop\EAB Optimization Project\sierra_sensitivity_20260207_134814\MET_8387\control,control,,,max_sector,4-30 Day Avg. X/Qs  ,5.0,1.314887299486145e-06,7.607205816384521e-07
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,C:\Users\naetter\OneDrive - North Carolina State University\Desktop\EAB Optimization Project\sierra_sensitivity_20260207_134814\MET_8387\control,control,,,max_sector,4-30 Day Avg. X/Qs  ,50.0,3.931494347853004e-07,2.0996158411890065e-07
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,C:\Users\naetter\OneDrive - North Carolina State University\Desktop\EAB Optimization Project\sierra_sensitivity_20260207_134814\MET_8387\control,control,,,max_sector,Annual   Avg. X/Qs  ,,5.605541559816629e-07,2.774192182641855e-07
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,C:\Users\naetter\OneDrive - North Carolina State University\Desktop\EAB Optimization Project\sierra_sensitivity_20260207_134814\MET_8387\control,control,,,overall_site,0-2 Hr   Avg. X/Qs  ,0.5,0.0002536626998335123,0.00011450897000031546
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,C:\Users\naetter\OneDrive - North Carolina State University\Desktop\EAB Optimization Project\sierra_sensitivity_20260207_134814\MET_8387\control,control,,,overall_site,0-2 Hr   Avg. X/Qs  ,5.0,4.2017902160296217e-05,1.8849332263926044e-05
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,C:\Users\naetter\OneDrive - North Carolina State University\Desktop\EAB Optimization Project\sierra_sensitivity_20260207_134814\MET_8387\control,control,,,overall_site,0-2 Hr   Avg. X/Qs  ,50.0,7.404187726933742e-06,4.330302999733249e-06
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,C:\Users\naetter\OneDrive - North Carolina State University\Desktop\EAB Optimization Project\sierra_sensitivity_20260207_134814\MET_8387\control,control,,,overall_site,0-8 Hr   Avg. X/Qs  ,0.5,0.00016166036948561668,7.960024959174916e-05
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,C:\Users\naetter\OneDrive - North Carolina State University\Desktop\EAB Optimization Project\sierra_sensitivity_20260207_134814\MET_8387\control,control,,,overall_site,0-8 Hr   Avg. X/Qs  ,5.0,3.8753703847760335e-05,1.8961791283800267e-05
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,C:\Users\naetter\OneDrive - North Carolina State University\Desktop\EAB Optimization Project\sierra_sensitivity_20260207_134814\MET_8387\control,control,,,overall_site,0-8 Hr   Avg. X/Qs  ,50.0,8.525292287231423e-06,4.720014203485334e-06
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,C:\Users\naetter\OneDrive - North Carolina State University\Desktop\EAB Optimization Project\sierra_sensitivity_20260207_134814\MET_8387\control,control,,,overall_site,8-24 Hr  Avg. X/Qs  ,0.5,0.00011911911860806867,5.529875124921091e-05
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,C:\Users\naetter\OneDrive - North Carolina State University\Desktop\EAB Optimization Project\sierra_sensitivity_20260207_134814\MET_8387\control,control,,,overall_site,8-24 Hr  Avg. X/Qs  ,5.0,2.8961743737454526e-05,1.4056819054530933e-05
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,C:\Users\naetter\OneDrive - North Carolina State University\Desktop\EAB Optimization Project\sierra_sensitivity_20260207_134814\MET_8387\control,control,,,overall_site,8-24 Hr  Avg. X/Qs  ,50.0,6.064500666980166e-06,3.091877715633018e-06
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,C:\Users\naetter\OneDrive - North Carolina State University\Desktop\EAB Optimization Project\sierra_sensitivity_20260207_134814\MET_8387\control,control,,,overall_site,1-4 Day  Avg. X/Qs  ,0.5,6.0760714404750615e-05,2.8292122806305997e-05
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,C:\Users\naetter\OneDrive - North Carolina State University\Desktop\EAB Optimization Project\sierra_sensitivity_20260207_134814\MET_8387\control,control,,,overall_site,1-4 Day  Avg. X/Qs  ,5.0,2.287617462570779e-05,1.079764206224354e-05
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,C:\Users\naetter\OneDrive - North Carolina State University\Desktop\EAB Optimization Project\sierra_sensitivity_20260207_134814\MET_8387\control,control,,,overall_site,1-4 Day  Avg. X/Qs  ,50.0,4.116642230655998e-06,1.92293327927473e-06
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,C:\Users\naetter\OneDrive - North Carolina State University\Desktop\EAB Optimization Project\sierra_sensitivity_20260207_134814\MET_8387\control,control,,,overall_site,4-30 Day Avg. X/Qs  ,0.5,3.8632664654869586e-05,1.7864354958874173e-05
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,C:\Users\naetter\OneDrive - North Carolina State University\Desktop\EAB Optimization Project\sierra_sensitivity_20260207_134814\MET_8387\control,control,,,overall_site,4-30 Day Avg. X/Qs  ,5.0,1.6767777196946554e-05,9.212167242367286e-06
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,C:\Users\naetter\OneDrive - North Carolina State University\Desktop\EAB Optimization Project\sierra_sensitivity_20260207_134814\MET_8387\control,control,,,overall_site,4-30 Day Avg. X/Qs  ,50.0,3.748622702914872e-06,1.6899992942853714e-06
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,C:\Users\naetter\OneDrive - North Carolina State University\Desktop\EAB Optimization Project\sierra_sensitivity_20260207_134814\MET_8387\control,control,,,overall_site,Annual   Avg. X/Qs  ,,5.605541559816629e-07,2.774192182641855e-07
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,C:\Users\naetter\OneDrive - North Carolina State University\Desktop\EAB Optimization Project\sierra_sensitivity_20260207_134814\MET_8387\stack_height_10p0,sensitivity,stack_height,10.0,max_sector,0-2 Hr   Avg. X/Qs  ,0.5,0.0005328934639692307,0.00013612461043521762
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,C:\Users\naetter\OneDrive - North Carolina State University\Desktop\EAB Optimization Project\sierra_sensitivity_20260207_134814\MET_8387\stack_height_10p0,sensitivity,stack_height,10.0,max_sector,0-2 Hr   Avg. X/Qs  ,5.0,0.0001816101575968787,2.869454510801006e-05
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,C:\Users\naetter\OneDrive - North Carolina State University\Desktop\EAB Optimization Project\sierra_sensitivity_20260207_134814\MET_8387\stack_height_10p0,sensitivity,stack_height,10.0,max_sector,0-2 Hr   Avg. X/Qs  ,50.0,9.999999974752427e-07,9.999999974752427e-07
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,C:\Users\naetter\OneDrive - North Carolina State University\Desktop\EAB Optimization Project\sierra_sensitivity_20260207_134814\MET_8387\stack_height_10p0,sensitivity,stack_height,10.0,max_sector,0-8 Hr   Avg. X/Qs  ,0.5,0.0002830940647982061,5.940745904808864e-05
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,C:\Users\naetter\OneDrive - North Carolina State University\Desktop\EAB Optimization Project\sierra_sensitivity_20260207_134814\MET_8387\stack_height_10p0,sensitivity,stack_height,10.0,max_sector,0-8 Hr   Avg. X/Qs  ,5.0,0.00011438307410571724,2.2261343474383466e-05
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,C:\Users\naetter\OneDrive - North Carolina State University\Desktop\EAB Optimization Project\sierra_sensitivity_20260207_134814\MET_8387\stack_height_10p0,sensitivity,stack_height,10.0,max_sector,0-8 Hr   Avg. X/Qs  ,50.0,9.999999974752427e-07,9.999999974752427e-07
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,C:\Users\naetter\OneDrive - North Carolina State University\Desktop\EAB Optimization Project\sierra_sensitivity_20260207_134814\MET_8387\stack_height_10p0,sensitivity,stack_height,10.0,max_sector,8-24 Hr  Avg. X/Qs  ,0.5,0.00017909027519635856,4.152653127675876e-05
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,C:\Users\naetter\OneDrive - North Carolina State University\Desktop\EAB Optimization Project\sierra_sensitivity_20260207_134814\MET_8387\stack_height_10p0,sensitivity,stack_height,10.0,max_sector,8-24 Hr  Avg. X/Qs  ,5.0,6.26365072093904e-05,1.2153534044045955e-05
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,C:\Users\naetter\OneDrive - North Carolina State University\Desktop\EAB Optimization Project\sierra_sensitivity_20260207_134814\MET_8387\stack_height_10p0,sensitivity,stack_height,10.0,max_sector,8-24 Hr  Avg. X/Qs  ,50.0,7.07522667653393e-06,9.999999974752427e-07
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,C:\Users\naetter\OneDrive - North Carolina State University\Desktop\EAB Optimization Project\sierra_sensitivity_20260207_134814\MET_8387\stack_height_10p0,sensitivity,stack_height,10.0,max_sector,1-4 Day  Avg. X/Qs  ,0.5,9.92351706372574e-05,2.0512363335001282e-05
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,C:\Users\naetter\OneDrive - North Carolina State University\Desktop\EAB Optimization Project\sierra_sensitivity_20260207_134814\MET_8387\stack_height_10p0,sensitivity,stack_height,10.0,max_sector,1-4 Day  Avg. X/Qs  ,5.0,2.2358246496878564e-05,3.966395524912514e-06
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,C:\Users\naetter\OneDrive - North Carolina State University\Desktop\EAB Optimization Project\sierra_sensitivity_20260207_134814\MET_8387\stack_height_10p0,sensitivity,stack_height,10.0,max_sector,1-4 Day  Avg. X/Qs  ,50.0,6.973534709686646e-06,1.0102069154527271e-06
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,C:\Users\naetter\OneDrive - North Carolina State University\Desktop\EAB Optimization Project\sierra_sensitivity_20260207_134814\MET_8387\stack_height_10p0,sensitivity,stack_height,10.0,max_sector,4-30 Day Avg. X/Qs  ,0.5,3.698740329127759e-05,7.353548426181078e-06
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,C:\Users\naetter\OneDrive - North Carolina State University\Desktop\EAB Optimization Project\sierra_sensitivity_20260207_134814\MET_8387\stack_height_10p0,sensitivity,stack_height,10.0,max_sector,4-30 Day Avg. X/Qs  ,5.0,1.382932623528177e-05,2.0838549517065985e-06
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,C:\Users\naetter\OneDrive - North Carolina State University\Desktop\EAB Optimization Project\sierra_sensitivity_20260207_134814\MET_8387\stack_height_10p0,sensitivity,stack_height,10.0,max_sector,4-30 Day Avg. X/Qs  ,50.0,6.49360345050809e-06,9.999999974752427e-07
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,C:\Users\naetter\OneDrive - North Carolina State University\Desktop\EAB Optimization Project\sierra_sensitivity_20260207_134814\MET_8387\stack_height_10p0,sensitivity,stack_height,10.0,max_sector,Annual   Avg. X/Qs  ,,7.308356543944683e-06,1.0479768661753042e-06
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,C:\Users\naetter\OneDrive - North Carolina State University\Desktop\EAB Optimization Project\sierra_sensitivity_20260207_134814\MET_8387\stack_height_10p0,sensitivity,stack_height,10.0,overall_site,0-2 Hr   Avg. X/Qs  ,0.5,0.001811780733987689,0.0003186457615811378
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,C:\Users\naetter\OneDrive - North Carolina State University\Desktop\EAB Optimization Project\sierra_sensitivity_20260207_134814\MET_8387\stack_height_10p0,sensitivity,stack_height,10.0,overall_site,0-2 Hr   Avg. X/Qs  ,5.0,0.0006124028004705906,0.00012048438657075167
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,C:\Users\naetter\OneDrive - North Carolina State University\Desktop\EAB Optimization Project\sierra_sensitivity_20260207_134814\MET_8387\stack_height_10p0,sensitivity,stack_height,10.0,overall_site,0-2 Hr   Avg. X/Qs  ,50.0,0.00010590411693556234,1.4739914149686228e-05
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,C:\Users\naetter\OneDrive - North Carolina State University\Desktop\EAB Optimization Project\sierra_sensitivity_20260207_134814\MET_8387\stack_height_10p0,sensitivity,stack_height,10.0,overall_site,0-8 Hr   Avg. X/Qs  ,0.5,0.0013837305596098304,0.000273193814791739
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,C:\Users\naetter\OneDrive - North Carolina State University\Desktop\EAB Optimization Project\sierra_sensitivity_20260207_134814\MET_8387\stack_height_10p0,sensitivity,stack_height,10.0,overall_site,0-8 Hr   Avg. X/Qs  ,5.0,0.0005609386716969311,0.0001104639086406678
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,C:\Users\naetter\OneDrive - North Carolina State University\Desktop\EAB Optimization Project\sierra_sensitivity_20260207_134814\MET_8387\stack_height_10p0,sensitivity,stack_height,10.0,overall_site,0-8 Hr   Avg. X/Qs  ,50.0,0.00012250857253093272,1.8691751392907463e-05
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,C:\Users\naetter\OneDrive - North Carolina State University\Desktop\EAB Optimization Project\sierra_sensitivity_20260207_134814\MET_8387\stack_height_10p0,sensitivity,stack_height,10.0,overall_site,8-24 Hr  Avg. X/Qs  ,0.5,0.0008343805093318224,0.00015252287266775966
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,C:\Users\naetter\OneDrive - North Carolina State University\Desktop\EAB Optimization Project\sierra_sensitivity_20260207_134814\MET_8387\stack_height_10p0,sensitivity,stack_height,10.0,overall_site,8-24 Hr  Avg. X/Qs  ,5.0,0.0003544177452567965,6.592103454750031e-05
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,C:\Users\naetter\OneDrive - North Carolina State University\Desktop\EAB Optimization Project\sierra_sensitivity_20260207_134814\MET_8387\stack_height_10p0,sensitivity,stack_height,10.0,overall_site,8-24 Hr  Avg. X/Qs  ,50.0,8.533216896466911e-05,1.3053348084213212e-05
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,C:\Users\naetter\OneDrive - North Carolina State University\Desktop\EAB Optimization Project\sierra_sensitivity_20260207_134814\MET_8387\stack_height_10p0,sensitivity,stack_height,10.0,overall_site,1-4 Day  Avg. X/Qs  ,0.5,0.00040764446021057665,6.049956209608354e-05
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,C:\Users\naetter\OneDrive - North Carolina State University\Desktop\EAB Optimization Project\sierra_sensitivity_20260207_134814\MET_8387\stack_height_10p0,sensitivity,stack_height,10.0,overall_site,1-4 Day  Avg. X/Qs  ,5.0,0.0002141801523976028,3.159773405059241e-05
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,C:\Users\naetter\OneDrive - North Carolina State University\Desktop\EAB Optimization Project\sierra_sensitivity_20260207_134814\MET_8387\stack_height_10p0,sensitivity,stack_height,10.0,overall_site,1-4 Day  Avg. X/Qs  ,50.0,5.6589960877317935e-05,8.54748759593349e-06
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,C:\Users\naetter\OneDrive - North Carolina State University\Desktop\EAB Optimization Project\sierra_sensitivity_20260207_134814\MET_8387\stack_height_10p0,sensitivity,stack_height,10.0,overall_site,4-30 Day Avg. X/Qs  ,0.5,0.00025871730758808553,3.1494400900555775e-05
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,C:\Users\naetter\OneDrive - North Carolina State University\Desktop\EAB Optimization Project\sierra_sensitivity_20260207_134814\MET_8387\stack_height_10p0,sensitivity,stack_height,10.0,overall_site,4-30 Day Avg. X/Qs  ,5.0,0.00016933611186686903,2.2661286493530497e-05
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,C:\Users\naetter\OneDrive - North Carolina State University\Desktop\EAB Optimization Project\sierra_sensitivity_20260207_134814\MET_8387\stack_height_10p0,sensitivity,stack_height,10.0,overall_site,4-30 Day Avg. X/Qs  ,50.0,4.868821633863263e-05,7.0845212576386984e-06
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,C:\Users\naetter\OneDrive - North Carolina State University\Desktop\EAB Optimization Project\sierra_sensitivity_20260207_134814\MET_8387\stack_height_10p0,sensitivity,stack_height,10.0,overall_site,Annual   Avg. X/Qs  ,,7.308356543944683e-06,1.0479768661753042e-06
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,C:\Users\naetter\OneDrive - North Carolina State University\Desktop\EAB Optimization Project\sierra_sensitivity_20260207_134814\MET_8387\stack_height_15p0,sensitivity,stack_height,15.0,max_sector,0-2 Hr   Avg. X/Qs  ,0.5,0.0003229405265301466,8.596584666520357e-05
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,C:\Users\naetter\OneDrive - North Carolina State University\Desktop\EAB Optimization Project\sierra_sensitivity_20260207_134814\MET_8387\stack_height_15p0,sensitivity,stack_height,15.0,max_sector,0-2 Hr   Avg. X/Qs  ,5.0,0.00010358823783462867,2.214609776274301e-05
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,C:\Users\naetter\OneDrive - North Carolina State University\Desktop\EAB Optimization Project\sierra_sensitivity_20260207_134814\MET_8387\stack_height_15p0,sensitivity,stack_height,15.0,max_sector,0-2 Hr   Avg. X/Qs  ,50.0,9.999999974752427e-07,9.999999974752427e-07
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,C:\Users\naetter\OneDrive - North Carolina State University\Desktop\EAB Optimization Project\sierra_sensitivity_20260207_134814\MET_8387\stack_height_15p0,sensitivity,stack_height,15.0,max_sector,0-8 Hr   Avg. X/Qs  ,0.5,0.00015694730973336846,4.327079659560695e-05
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,C:\Users\naetter\OneDrive - North Carolina State University\Desktop\EAB Optimization Project\sierra_sensitivity_20260207_134814\MET_8387\stack_height_15p0,sensitivity,stack_height,15.0,max_sector,0-8 Hr   Avg. X/Qs  ,5.0,5.995823084958829e-05,1.6245312508544885e-05
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,C:\Users\naetter\OneDrive - North Carolina State University\Desktop\EAB Optimization Project\sierra_sensitivity_20260207_134814\MET_8387\stack_height_15p0,sensitivity,stack_height,15.0,max_sector,0-8 Hr   Avg. X/Qs  ,50.0,9.999999974752427e-07,9.999999974752427e-07
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,C:\Users\naetter\OneDrive - North Carolina State University\Desktop\EAB Optimization Project\sierra_sensitivity_20260207_134814\MET_8387\stack_height_15p0,sensitivity,stack_height,15.0,max_sector,8-24 Hr  Avg. X/Qs  ,0.5,0.00010652279888745397,3.0248518669395708e-05
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,C:\Users\naetter\OneDrive - North Carolina State University\Desktop\EAB Optimization Project\sierra_sensitivity_20260207_134814\MET_8387\stack_height_15p0,sensitivity,stack_height,15.0,max_sector,8-24 Hr  Avg. X/Qs  ,5.0,3.3193162380484864e-05,8.777686161920428e-06
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,C:\Users\naetter\OneDrive - North Carolina State University\Desktop\EAB Optimization Project\sierra_sensitivity_20260207_134814\MET_8387\stack_height_15p0,sensitivity,stack_height,15.0,max_sector,8-24 Hr  Avg. X/Qs  ,50.0,4.698267275671242e-06,9.999999974752427e-07
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,C:\Users\naetter\OneDrive - North Carolina State University\Desktop\EAB Optimization Project\sierra_sensitivity_20260207_134814\MET_8387\stack_height_15p0,sensitivity,stack_height,15.0,max_sector,1-4 Day  Avg. X/Qs  ,0.5,6.925332127138972e-05,1.624242759135086e-05
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,C:\Users\naetter\OneDrive - North Carolina State University\Desktop\EAB Optimization Project\sierra_sensitivity_20260207_134814\MET_8387\stack_height_15p0,sensitivity,stack_height,15.0,max_sector,1-4 Day  Avg. X/Qs  ,5.0,1.3249646144686267e-05,2.884272134906496e-06
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,C:\Users\naetter\OneDrive - North Carolina State University\Desktop\EAB Optimization Project\sierra_sensitivity_20260207_134814\MET_8387\stack_height_15p0,sensitivity,stack_height,15.0,max_sector,1-4 Day  Avg. X/Qs  ,50.0,4.286909188522259e-06,9.999999974752427e-07
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,C:\Users\naetter\OneDrive - North Carolina State University\Desktop\EAB Optimization Project\sierra_sensitivity_20260207_134814\MET_8387\stack_height_15p0,sensitivity,stack_height,15.0,max_sector,4-30 Day Avg. X/Qs  ,0.5,3.098880188190378e-05,5.737618721468607e-06
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,C:\Users\naetter\OneDrive - North Carolina State University\Desktop\EAB Optimization Project\sierra_sensitivity_20260207_134814\MET_8387\stack_height_15p0,sensitivity,stack_height,15.0,max_sector,4-30 Day Avg. X/Qs  ,5.0,9.042561032401863e-06,1.8149431753045064e-06
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,C:\Users\naetter\OneDrive - North Carolina State University\Desktop\EAB Optimization Project\sierra_sensitivity_20260207_134814\MET_8387\stack_height_15p0,sensitivity,stack_height,15.0,max_sector,4-30 Day Avg. X/Qs  ,50.0,3.937656856578542e-06,9.999999974752427e-07
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,C:\Users\naetter\OneDrive - North Carolina State University\Desktop\EAB Optimization Project\sierra_sensitivity_20260207_134814\MET_8387\stack_height_15p0,sensitivity,stack_height,15.0,max_sector,Annual   Avg. X/Qs  ,,4.67198060505325e-06,8.238923783210339e-07
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,C:\Users\naetter\OneDrive - North Carolina State University\Desktop\EAB Optimization Project\sierra_sensitivity_20260207_134814\MET_8387\stack_height_15p0,sensitivity,stack_height,15.0,overall_site,0-2 Hr   Avg. X/Qs  ,0.5,0.0011317844036966562,0.00026179300039075315
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,C:\Users\naetter\OneDrive - North Carolina State University\Desktop\EAB Optimization Project\sierra_sensitivity_20260207_134814\MET_8387\stack_height_15p0,sensitivity,stack_height,15.0,overall_site,0-2 Hr   Avg. X/Qs  ,5.0,0.00031667869188822806,8.528809121344239e-05
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,C:\Users\naetter\OneDrive - North Carolina State University\Desktop\EAB Optimization Project\sierra_sensitivity_20260207_134814\MET_8387\stack_height_15p0,sensitivity,stack_height,15.0,overall_site,0-2 Hr   Avg. X/Qs  ,50.0,7.388940139207989e-05,1.1948824976570904e-05
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,C:\Users\naetter\OneDrive - North Carolina State University\Desktop\EAB Optimization Project\sierra_sensitivity_20260207_134814\MET_8387\stack_height_15p0,sensitivity,stack_height,15.0,overall_site,0-8 Hr   Avg. X/Qs  ,0.5,0.0009027175838127732,0.00021267087140586227
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,C:\Users\naetter\OneDrive - North Carolina State University\Desktop\EAB Optimization Project\sierra_sensitivity_20260207_134814\MET_8387\stack_height_15p0,sensitivity,stack_height,15.0,overall_site,0-8 Hr   Avg. X/Qs  ,5.0,0.0003102415066678077,8.091278141364455e-05
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,C:\Users\naetter\OneDrive - North Carolina State University\Desktop\EAB Optimization Project\sierra_sensitivity_20260207_134814\MET_8387\stack_height_15p0,sensitivity,stack_height,15.0,overall_site,0-8 Hr   Avg. X/Qs  ,50.0,7.904407539172098e-05,1.495803826401243e-05
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,C:\Users\naetter\OneDrive - North Carolina State University\Desktop\EAB Optimization Project\sierra_sensitivity_20260207_134814\MET_8387\stack_height_15p0,sensitivity,stack_height,15.0,overall_site,8-24 Hr  Avg. X/Qs  ,0.5,0.0006101774633862078,0.00012374910875223577
